# Jiang, P. et. al. 2002.01786 Table III
#1050 1100 1150 1200 1250 1300 1350 1400 1450
3.31	2.23 2.54	1.85 0.34	1.83 5.03	2.03 4.94	2.02 9.83	1.85 8.50	1.93 7.87	1.95 10.64	1.90
6.19	0.04 6.32	0.03 6.43	0.03 6.22	0.03 6.22	0.03 6.08	0.03 6.12	0.03 6.14	0.03 5.98	0.03
-1.58	0.02 -1.61	0.03 -1.37	0.04 -1.40	0.04 -1.42	0.03 -1.38	0.03 -1.40	0.02 -1.34	0.02 -1.26	0.02
9.46	3.53 6.28	3.09 9.01	3.14 12.13	3.12 10.98	3.06 11.31	2.16 8.71	2.09 8.78	2.06 13.07	1.98
5.97	0.06 5.97	0.05 5.99	0.05 5.81	0.05 5.81	0.05 5.65	0.04 5.75	0.03 5.75	0.03 5.62	0.03
-1.54	0.03 -1.62	0.03 -1.46	0.03 -1.44	0.02 -1.42	0.02 -1.29	0.02 -1.32	0.02 -1.33	0.02 -1.21	0.02
1.79	4.21 4.39	3.55 2.41	4.46 5.95	4.69 6.90	3.21 7.41	2.60 9.99	2.63 7.66	2.60 10.30	2.72
6.41	0.07 6.24	0.06 6.42	0.07 6.21	0.07 6.17	0.05 6.07	0.04 5.91	0.04 5.99	0.04 5.86	0.04
-1.70	0.03 -1.80	0.03 -1.56	0.03 -1.63	0.02 -1.59	0.02 -1.56	0.02 -1.53	0.02 -1.47	0.02 -1.35	0.03
3.57	4.76 1.87	4.08 3.82	3.93 3.90	4.60 8.46	4.65 4.29	3.22 2.75	3.28 1.85	3.26 5.10	3.20
6.24	0.08 6.15	0.07 6.25	0.06 6.05	0.08 5.98	0.08 5.92	0.05 5.89	0.05 5.89	0.05 5.75	0.05
-1.80	0.03 -1.82	0.03 -1.65	0.02 -1.57	0.06 -1.58	0.02 -1.42	0.02 -1.45	0.02 -1.36	0.02 -1.24	0.02
-3.97	2.87 -4.25	2.72 -4.44	2.72 -7.54	3.48 -4.09	4.19 -5.41	2.35 -3.33	2.26 -4.51	2.42 -4.58	2.53
6.45	0.05 6.48	0.04 6.68	0.04 6.42	0.06 6.39	0.07 6.26	0.04 6.10	0.04 6.17	0.04 6.11	0.04
-1.82	0.03 -1.86	0.03 -1.72	0.03 -1.56	0.03 -1.60	0.03 -1.53	0.02 -1.45	0.03 -1.44	0.03 -1.30	0.03
1.69	2.84 0.74	2.59 -0.00	4.17 1.06	5.18 0.97	3.49 0.33	1.82 3.11	1.80 -0.03	1.76 1.37	1.76
6.16	0.04 6.22	0.04 6.33	0.07 6.01	0.08 6.04	0.06 5.92	0.03 5.83	0.03 5.89	0.03 5.75	0.03
-1.74	0.03 -1.80	0.03 -1.60	0.03 -1.50	0.04 -1.44	0.03 -1.33	0.02 -1.38	0.02 -1.35	0.02 -1.22	0.02
1.71	2.43 0.08	2.18 0.77	2.41 2.03	3.25 2.24	3.64 3.46	1.82 5.46	1.60 6.70	1.65 6.91	1.49
6.10	0.04 6.04	0.04 6.18	0.04 5.90	0.05 6.02	0.06 5.86	0.03 5.77	0.03 5.73	0.03 5.62	0.02
-1.68	0.02 -1.64	0.02 -1.52	0.02 -1.39	0.02 -1.43	0.02 -1.32	0.02 -1.34	0.02 -1.36	0.02 -1.22	0.02
13.91	3.13 17.00	2.98 14.04	3.81 16.81	4.98 17.71	2.95 17.29	2.75 16.95	2.29 15.92	2.31 17.76	2.43
5.76	0.05 5.75	0.05 5.81	0.06 5.62	0.08 5.54	0.05 5.46	0.04 5.41	0.04 5.34	0.04 5.22	0.04
-1.60	0.06 -1.70	0.05 -1.52	0.06 -1.50	0.06 -1.50	0.05 -1.47	0.05 -1.45	0.05 -1.37	0.05 -1.28	0.05
